t	u	v	w	p	q	r	phi	psi	theta	h
6.9000000000000039e-01	7.4712980291417551e+01	0.0000000000000000e+00	9.4185016829999524e-01	0.0000000000000000e+00	-6.9113095528588835e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2337639014042017e-02	2.9999952196712056e+03
7.0000000000000040e-01	7.4708985237130307e+01	0.0000000000000000e+00	9.4185107103113086e-01	0.0000000000000000e+00	-7.0146993274093010e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2330727704489158e-02	2.9999950194702978e+03
7.1000000000000041e-01	7.4704992661607093e+01	0.0000000000000000e+00	9.4185245789697380e-01	0.0000000000000000e+00	-7.1179012959087667e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2323713005161748e-02	2.9999948136037015e+03
7.2000000000000042e-01	7.4701002574613696e+01	0.0000000000000000e+00	9.4185431533768660e-01	0.0000000000000000e+00	-7.2209605031002229e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2316595103865839e-02	2.9999946019901895e+03
7.3000000000000043e-01	7.4697014985910656e+01	0.0000000000000000e+00	9.4185662711840124e-01	0.0000000000000000e+00	-7.3239189667857123e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2309374143362740e-02	2.9999943845488237e+03
7.4000000000000044e-01	7.4693029905249801e+01	0.0000000000000000e+00	9.4185937467756664e-01	0.0000000000000000e+00	-7.4268155870565729e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2302050224395953e-02	2.9999941611989489e+03
7.5000000000000044e-01	7.4689047342371140e+01	0.0000000000000000e+00	9.4186253746540127e-01	0.0000000000000000e+00	-7.5296860879011274e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2294623408808898e-02	2.9999939318601828e+03
7.6000000000000045e-01	7.4685067306999940e+01	0.0000000000000000e+00	9.4186609327055315e-01	0.0000000000000000e+00	-7.6325629890033940e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2287093722720997e-02	2.9999936964524081e+03
7.7000000000000046e-01	7.4681089808844121e+01	0.0000000000000000e+00	9.4187001853331864e-01	0.0000000000000000e+00	-7.7354756054855047e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2279461159731993e-02	2.9999934548957622e+03
7.8000000000000047e-01	7.4677114857591960e+01	0.0000000000000000e+00	9.4187428864401490e-01	0.0000000000000000e+00	-7.8384500733056121e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2271725684126508e-02	2.9999932071106255e+03
7.9000000000000048e-01	7.4673142462909979e+01	0.0000000000000000e+00	9.4187887822533245e-01	0.0000000000000000e+00	-7.9415093980063822e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2263887234053202e-02	2.9999929530176114e+03
8.0000000000000049e-01	7.4669172634441125e+01	0.0000000000000000e+00	9.4188376139772501e-01	0.0000000000000000e+00	-8.0446735245105056e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2255945724655196e-02	2.9999926925375539e+03
8.1000000000000050e-01	7.4665205381803247e+01	0.0000000000000000e+00	9.4188891202709868e-01	0.0000000000000000e+00	-8.1479594256810375e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2247901051130685e-02	2.9999924255914943e+03
8.2000000000000051e-01	7.4661240714587763e+01	0.0000000000000000e+00	9.4189430395427198e-01	0.0000000000000000e+00	-8.2513812074005641e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2239753091705004e-02	2.9999921521006709e+03
8.3000000000000052e-01	7.4657278642358591e+01	0.0000000000000000e+00	9.4189991120586247e-01	0.0000000000000000e+00	-8.3549502279752039e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2231501710497604e-02	2.9999918719865045e+03
8.4000000000000052e-01	7.4653319174651301e+01	0.0000000000000000e+00	9.4190570818643649e-01	0.0000000000000000e+00	-8.4586752297357659e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2223146760269629e-02	2.9999915851705873e+03
8.5000000000000053e-01	7.4649362320972472e+01	0.0000000000000000e+00	9.4191166985191799e-01	0.0000000000000000e+00	-8.5625624807836559e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2214688085039893e-02	2.9999912915746709e+03
8.6000000000000054e-01	7.4645408090799265e+01	0.0000000000000000e+00	9.4191777186440628e-01	0.0000000000000000e+00	-8.6666159249178796e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2206125522559109e-02	2.9999909911206532e+03
8.7000000000000055e-01	7.4641456493579170e+01	0.0000000000000000e+00	9.4192399072868693e-01	0.0000000000000000e+00	-8.7708373378739800e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2197458906634191e-02	2.9999906837305671e+03
8.8000000000000056e-01	7.4637507538729906e+01	0.0000000000000000e+00	9.4193030391084287e-01	0.0000000000000000e+00	-8.8752264881086817e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2188688069296317e-02	2.9999903693265692e+03
8.9000000000000057e-01	7.4633561235639561e+01	0.0000000000000000e+00	9.4193668993948465e-01	0.0000000000000000e+00	-8.9797813004733392e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2179812842808209e-02	2.9999900478309287e+03
9.0000000000000058e-01	7.4629617593666765e+01	0.0000000000000000e+00	9.4194312849021344e-01	0.0000000000000000e+00	-9.0844980212304656e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2170833061507735e-02	2.9999897191660175e+03
9.1000000000000059e-01	7.4625676622141100e+01	0.0000000000000000e+00	9.4194960045401399e-01	0.0000000000000000e+00	-9.1893713829853505e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2161748563486506e-02	2.9999893832542998e+03
9.2000000000000060e-01	7.4621738330363556e+01	0.0000000000000000e+00	9.4195608799034791e-01	0.0000000000000000e+00	-9.2943947682209494e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2152559192103521e-02	2.9999890400183226e+03
9.3000000000000060e-01	7.4617802727607128e+01	0.0000000000000000e+00	9.4196257456577459e-01	0.0000000000000000e+00	-9.3995603702441873e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2143264797335299e-02	2.9999886893807070e+03
9.4000000000000061e-01	7.4613869823117483e+01	0.0000000000000000e+00	9.4196904497897749e-01	0.0000000000000000e+00	-9.5048593504693803e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2133865236965056e-02	2.9999883312641409e+03
9.5000000000000062e-01	7.4609939626113743e+01	0.0000000000000000e+00	9.4197548537310660e-01	0.0000000000000000e+00	-9.6102819910822682e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2124360377614586e-02	2.9999879655913705e+03
9.6000000000000063e-01	7.4606012145789265e+01	0.0000000000000000e+00	9.4198188323637932e-01	0.0000000000000000e+00	-9.7158178422431364e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2114750095623504e-02	2.9999875922851938e+03
9.7000000000000064e-01	7.4602087391312566e+01	0.0000000000000000e+00	9.4198822739189425e-01	0.0000000000000000e+00	-9.8214558631006909e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2105034277781260e-02	2.9999872112684543e+03
9.8000000000000065e-01	7.4598165371828188e+01	0.0000000000000000e+00	9.4199450797762285e-01	0.0000000000000000e+00	-9.9271845559964858e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2095212821918160e-02	2.9999868224640354e+03
9.9000000000000066e-01	7.4594246096457695e+01	0.0000000000000000e+00	9.4200071641754302e-01	0.0000000000000000e+00	-1.0032992093346202e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2085285637362162e-02	2.9999864257948561e+03
1.0000000000000007e+00	7.4590329574300611e+01	0.0000000000000000e+00	9.4200684538486923e-01	0.0000000000000000e+00	-1.0138866436783767e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2075252645268816e-02	2.9999860211838659e+03
1.0100000000000007e+00	7.4586415814435426e+01	0.0000000000000000e+00	9.4201288875832034e-01	0.0000000000000000e+00	-1.0244795448250139e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2065113778832032e-02	2.9999856085540414e+03
1.0200000000000007e+00	7.4582504825920537e+01	0.0000000000000000e+00	9.4201884157234406e-01	0.0000000000000000e+00	-1.0350766992799378e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2054868983383782e-02	2.9999851878283839e+03
1.0300000000000007e+00	7.4578596617795270e+01	0.0000000000000000e+00	9.4202469996218907e-01	0.0000000000000000e+00	-1.0456769032979399e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2044518216390982e-02	2.9999847589299156e+03
